id,kanji,kana,vietnamese,hanViet,level,pos,tags,exampleSentence,exampleTranslation
"n5_0381","軽い","かるい","Nhẹ","Khinh","N5","A","","このパソコンはとてもかるいです。","Máy tính này rất nhẹ."
"n5_0382","若い","わかい","Trẻ","Nhược, nhã","N5","A","","わかい時、うちで休みます。","Khi trẻ, tôi nghỉ ngơi ở nhà."
"n5_0383","季節","きせつ","Mùa","Quý tiết","N5","N","","きせつに起きます。","Tôi thức dậy vào mùa."
"n5_0384","春","はる","Xuân","Xuân","N5","N","","ここにはるを置いてもいいですか。","Tôi để xuân ở đây có được không?"
"n5_0385","夏","なつ","Hạ","Hạ","N5","N","","新しいなつが欲しいです。","Tôi muốn có hạ mới."
"n5_0386","秋","あき","Thu","Thu","N5","N","","昨日、デパートであきを買いました。","Hôm qua, tôi đã mua thu ở trung tâm thương mại."
"n5_0387","冬","ふゆ","Đông","Đông","N5","N","","あのふゆはだれですか。","Đông kia là ai?"
"n5_0388","天気","てんき","Thời tiết","Thiên khí","N5","N","","てんき、どこへも行きませんでした。","Vào thời tiết, tôi đã không đi đâu cả."
"n5_0389","雨","あめ","Mưa","Vũ","N5","N","","ここにあめを置いてもいいですか。","Tôi để mưa ở đây có được không?"
"n5_0390","曇り","くもり","Mây mù","Đàm","N5","N","","くもりを忘れないでください。","Xin đừng quên mây mù."
"n5_0392","海","うみ","Biển","Hải","N5","N","","新しいうみが欲しいです。","Tôi muốn có biển mới."
"n5_0393","世界","せかい","Thế giới","Thế giới","N5","N","","それはせかいですか。","Đó có phải là thế giới không?"
"n5_0394","「お」祭り","おまつり","Lễ hội","Tế","N5","N","","ここにおまつりを置いてもいいですか。","Tôi để lễ hội ở đây có được không?"
"n5_0395","試験","しけん","Kỳ thi","Thí nghiệm","N5","N","","ここにしけんを置いてもいいですか。","Tôi để kỳ thi ở đây có được không?"
"n5_0396","遊ぶ","あそぶ","Chơi","Du","N5","V","","たくさんあそぶと、疲れます。","Hễ chơi nhiều thì sẽ mệt."
"n5_0397","泳ぐ","およぐ","Bơi","Vịnh","N5","V","","今、およぐところです。","Bây giờ tôi đang chuẩn bị bơi."
"n5_0398","迎える","むかえる","Đón","Nghênh","N5","V","","今、むかえるところです。","Bây giờ tôi đang chuẩn bị đón."
"n5_0399","変える","かえる","Đổi","Biến","N5","V","","明日、かえると思います。","Ngày mai, tôi định sẽ đổi."
"n5_0400","疲れる","つかれる","Mệt","Bì","N5","V","","明日、つかれると思います。","Ngày mai, tôi định sẽ mệt."
"n5_0401","出す","だす","Lấy ra, cho ra","Xuất","N5","V","","たくさんだすと、疲れます。","Hễ lấy ra nhiều thì sẽ mệt."
"n5_0402","入る","はいる","Vào, đi vào","Nhập","N5","V","","はいる時間がありますか。","Bạn có thời gian để vào, đi vào không?"
"n5_0403","出る","でる","Ra, đi ra","","N5","V","","でる前に、よく考えます。","Trước khi ra, đi ra, tôi thường suy nghĩ kỹ."
"n5_0404","見物する","けんぶつする","Thăm quan","Kiến vật","N5","V","","けんぶつする前に、よく考えます。","Trước khi thăm quan, tôi thường suy nghĩ kỹ."
"n5_0406","結婚する","けっこんする","Kết hôn","Kết hôn","N5","V","","時間がない時、けっこんすることができません。","Khi không có thời gian, tôi không thể kết hôn."
"n5_0407","買い物する","かいものする","Mua sắm","Mãi vật","N5","V","","時間がない時、かいものすることができません。","Khi không có thời gian, tôi không thể mua sắm."
"n5_0408","食事する","しょくじする","Dùng bữa","Thực sự","N5","V","","今、しょくじするところです。","Bây giờ tôi đang chuẩn bị dùng bữa."
"n5_0409","散歩する","さんぽする","Đi dạo","Tản bộ","N5","V","","私はさんぽすることができます。","Tôi có thể đi dạo."
"n5_0410","欲しい","ほしい","Muốn","Dục","N5","A","","このパソコンはとてもほしいです。","Máy tính này rất muốn."
"n5_0411","寂しい","さびしい","Buồn","Tịch","N5","A","","もっとさびしいカメラが欲しいです。","Tôi muốn một cái máy ảnh buồn hơn."
"n5_0412","広い","ひろい","Rộng","Quảng","N5","A","","昨日はとてもひろいかったです。","Hôm qua đã rất rộng."
"n5_0413","狭い","せまい","Hẹp","Hiệp","N5","A","","もっとせまいカメラが欲しいです。","Tôi muốn một cái máy ảnh hẹp hơn."
"n5_0414","市役所","しやくしょ","Chính quyền thành phố","Thị dịch sở","N5","N","","しやくしょで写真を撮らないでください。","Xin đừng chụp ảnh ở Chính quyền thành phố."
"n5_0415","川","かわ","Sông","Xuyên","N5","N","","あの方はかわです。","Vị kia là Sông."
"n5_0416","経済","けいざい","Kinh tế","Kinh tế","N5","N","","けいざいを忘れないでください。","Xin đừng quên kinh tế."
"n5_0417","美術","びじゅつ","Mỹ thuật","Mĩ thuật","N5","N","","昨日、デパートでびじゅつを買いました。","Hôm qua, tôi đã mua mỹ thuật ở trung tâm thương mại."
"n5_0418","釣りをする","つりをする","Câu cá","Điếu","N5","V","","時間がない時、つりをすることができません。","Khi không có thời gian, tôi không thể câu cá."
"n5_0419","会議をする","かいぎをする","Họp","Hội nghị","N5","V","","私はかいぎをすることができます。","Tôi có thể họp."
"n5_0420","登録をする","とうろくをする","Đăng kí","Đăng lục","N5","V","","時間がない時、とうろくをすることができません。","Khi không có thời gian, tôi không thể đăng kí."
"n5_0421","何か","なにか","Cái gì đó","","N5","N","","毎日、なにかを食べます。","Mỗi ngày tôi ăn cái gì đó."
"n5_0422","お腹が空いた","おなかがすいた","Tôi đói","Phúc, không","N5","N","","この時計はおなかがすいたにもらいました。","Tôi đã nhận cái đồng hồ này từ Tôi đói."
"n5_0423","お腹が一杯だ","おなかがいっぱい","Tôi no rồi","Phúc, bôi","N5","N","","私はおなかがいっぱいに日本語を教えます。","Tôi dạy tiếng Nhật cho Tôi no rồi."
"n5_0424","喉が乾いた","のどがかわいた","Tôi khát nước","Hầu, can","N5","N","","あの方はのどがかわいたです。","Vị kia là Tôi khát nước."
"n5_0425","ご注文は","ごちゅうもんは","Quý khách gọi món gì","Chú văn","N5","N","","昨日食べたごちゅうもんはは美味しかったです。","Quý khách gọi món gì mà tôi đã ăn hôm qua rất ngon."
"n5_0426","定食","ていしょく","Cơm suất","Định thực","N5","N","","私はていしょくが好きです。","Tôi thích cơm suất."
"n5_0427","少々お待ち下さい","しょうしょうおまちください","Xin chờ một chút","Thiểu, đãi","N5","N","","昨日、デパートでしょうしょうおまちくださいを買いました。","Hôm qua, tôi đã mua xin chờ một chút ở trung tâm thương mại."
"n5_0428","別々に","べつべつに","Tính/làm riêng ra","Biệt","N5","N","","ハサミでべつべつにを切ります。","Tôi cắt tính/làm riêng ra bằng kéo."
"n5_0429","付ける","つける","Bật","Phó","N5","V","","たくさんつけると、疲れます。","Hễ bật nhiều thì sẽ mệt."
"n5_0430","消す","けす","Tắt, xóa","Tiêu","N5","V","","明日、けすと思います。","Ngày mai, tôi định sẽ tắt, xóa."
"n5_0431","開ける","あける","Mở","Khai","N5","V","","時間がない時、あけることができません。","Khi không có thời gian, tôi không thể mở."
"n5_0432","閉める","しめる","Đóng, đậy","Bế","N5","V","","しめる前に、よく考えます。","Trước khi đóng, đậy, tôi thường suy nghĩ kỹ."
"n5_0433","急ぐ","いそぐ","Vội vàng","Cấp","N5","V","","今、いそぐところです。","Bây giờ tôi đang chuẩn bị vội vàng."
"n5_0434","持つ","もつ","Cầm, mang","Trì","N5","V","","明日、もつと思います。","Ngày mai, tôi định sẽ cầm, mang."
"n5_0435","待つ","まつ","Chờ, đợi","Đãi","N5","V","","時間がない時、まつことができません。","Khi không có thời gian, tôi không thể chờ, đợi."
"n5_0436","止める","とめる","Dừng, đỗ","Chỉ","N5","V","","私はとめることができます。","Tôi có thể dừng, đỗ."
"n5_0437","曲がる","まがる","Rẽ","Khúc","N5","V","","今、まがるところです。","Bây giờ tôi đang chuẩn bị rẽ."
"n5_0438","信号を右へ曲がる","しんごうをみぎへまがる","Rẽ sang phải ở chỗ có đèn giao thông","Tín hiệu","N5","V","","しんごうをみぎへまがる時間がありますか。","Bạn có thời gian để rẽ sang phải ở chỗ có đèn giao thông không?"
"n5_0439","覚える","おぼえる","Nhớ, thuộc lòng","Giác","N5","V","","おぼえる時間がありますか。","Bạn có thời gian để nhớ, thuộc lòng không?"
"n5_0440","思い出す","おもいだす","Nhớ nhung","Tư","N5","V","","このおもいだすはいくらですか。","Nhớ nhung này bao nhiêu tiền?"
"n5_0441","取る","とる","Lấy","Thủ","N5","V","","たくさんとると、疲れます。","Hễ lấy nhiều thì sẽ mệt."
"n5_0442","手伝う","てつだう","Giúp đỡ","Thủ truyền","N5","V","","てつだう時間がありますか。","Bạn có thời gian để giúp đỡ không?"
"n5_0443","呼ぶ","よぶ","Gọi","Hô","N5","V","","今、よぶところです。","Bây giờ tôi đang chuẩn bị gọi."
"n5_0444","話す","はなす","Nói chuyện","Thoại","N5","V","","はなす時間がありますか。","Bạn có thời gian để nói chuyện không?"
"n5_0445","見せる","みせる","Cho xem/nhìn","Kiến","N5","V","","今、みせるところです。","Bây giờ tôi đang chuẩn bị cho xem/nhìn."
"n5_0446","住所を教える","じゅうしょをおしえる","Cho địa chỉ","Trú sở","N5","V","","今、じゅうしょをおしえるところです。","Bây giờ tôi đang chuẩn bị cho địa chỉ."
"n5_0447","始める","はじめる","Bắt đầu","Thủy","N5","V","","時間がない時、はじめることができません。","Khi không có thời gian, tôi không thể bắt đầu."
"n5_0448","降る","ふる","Rơi","Hàng(giáng)","N5","V","","ふる時間がありますか。","Bạn có thời gian để rơi không?"
"n5_0449","名前","なまえ","Tên","Danh tiền","N5","N","","ハサミでなまえを切ります。","Tôi cắt tên bằng kéo."
"n5_0450","住所","じゅうしょ","Địa chỉ","Trú sở","N5","N","","昨日買ったじゅうしょはどこですか。","địa chỉ mà tôi đã mua hôm qua ở đâu?"
"n5_0451","塩","しお","Muối","Diêm","N5","N","","ハサミでしおを切ります。","Tôi cắt muối bằng kéo."
"n5_0452","砂糖","さとう","Đường","Sa đường","N5","N","","新しいさとうが欲しいです。","Tôi muốn có đường mới."
"n5_0453","読み方","よみかた","Cách đọc","Độc phương","N5","N","","昨日食べたよみかたは美味しかったです。","Cách đọc mà tôi đã ăn hôm qua rất ngon."
"n5_0454","ゆゅくり","ゆゅくり","Chậm, từ từ","","N5","N","","",""
"n5_0455","すぐ","すぐ","Ngay lập tức, ngay","","N5","N","","",""
"n5_0456","また","また","Lại, nữa","","N5","N","","",""
"n5_0457","後で","あとで","Sau, để sau","Hậu","N5","N","","昨日、デパートであとでを買いました。","Hôm qua, tôi đã mua sau, để sau ở trung tâm thương mại."
"n5_0458","もう少し","もうすこし","Thêm một chút nữa","","N5","N","","ハサミでもうすこしを切ります。","Tôi cắt thêm một chút nữa bằng kéo."
"n5_0459","お釣","おつり","Tiền thừa trả lại","Điếu","N5","N","","このおつりはいくらですか。","Tiền thừa trả lại này bao nhiêu tiền?"
"n5_0460","真っ直ぐ","まっすぐ","(đi) Thẳng","Chân trực","N5","N","","新しいまっすぐが欲しいです。","Tôi muốn có (đi) thẳng mới."
"n5_0461","言葉","ことば","Từ vựng","Ngôn diệp","N5","N","","ハサミでことばを切ります。","Tôi cắt từ vựng bằng kéo."
"n5_0462","立つ","たつ","Đứng","Lập","N5","V","","私はたつことができます。","Tôi có thể đứng."
"n5_0463","座る","すわる","Ngồi","Tọa","N5","V","","時間がない時、すわることができません。","Khi không có thời gian, tôi không thể ngồi."
"n5_0464","使う","つかう","Sử dụng","Sử","N5","V","","明日、つかうと思います。","Ngày mai, tôi định sẽ sử dụng."
"n5_0465","作る","つくる","Chế tạo, chế biến","Tác","N5","V","","たくさんつくると、疲れます。","Hễ chế tạo, chế biến nhiều thì sẽ mệt."
"n5_0466","置く","おく","Đặt, để","Trí","N5","V","","時間がない時、おくことができません。","Khi không có thời gian, tôi không thể đặt, để."
"n5_0468","売る","うる","Bán","Mại","N5","V","","今、うるところです。","Bây giờ tôi đang chuẩn bị bán."
"n5_0469","研究する","けんきゅうする","Nghiên cứu","Nghiên cứu","N5","V","","明日、けんきゅうすると思います。","Ngày mai, tôi định sẽ nghiên cứu."
"n5_0470","知る","しる","Biết","Tri(trí)","N5","V","","たくさんしると、疲れます。","Hễ biết nhiều thì sẽ mệt."
"n5_0471","住む","すむ","Sống","Trú","N5","V","","すむ前に、よく考えます。","Trước khi sống, tôi thường suy nghĩ kỹ."
"n5_0472","住んでいる","すんでいる","Đang sống ở","","N5","V","","たくさんすんでいると、疲れます。","Hễ đang sống ở nhiều thì sẽ mệt."
"n5_0473","持っている","しっている","Có, sở hữu","Trì","N5","V","","しっている時間がありますか。","Bạn có thời gian để có, sở hữu không?"
"n5_0474","禁煙","きんえん","Cấm hút thuốc","Cấm yên","N5","N","","きんえんを忘れないでください。","Xin đừng quên cấm hút thuốc."
"n5_0475","石鹸","せっけん","Xà phòng","","N5","N","","せっけんで写真を撮らないでください。","Xin đừng chụp ảnh ở Xà phòng."
"n5_0476","独身","どくしん","Độc thân","Độc thân","N5","N","","ここにどくしんを置いてもいいですか。","Tôi để độc thân ở đây có được không?"
"n5_0477","資料","しりょう","Tài liệu","Tư liệu","N5","N","","ここにしりょうを置いてもいいですか。","Tôi để tài liệu ở đây có được không?"
"n5_0478","時刻表","じこくひょう","Thời gian tàu chạy","Thời khắc biểu","N5","N","","じこくひょう、どこへも行きませんでした。","Vào thời gian tàu chạy, tôi đã không đi đâu cả."
"n5_0479","服","ふく","Quần áo","Phục","N5","N","","昨日買ったふくはどこですか。","quần áo mà tôi đã mua hôm qua ở đâu?"
"n5_0480","製品","せいひん","Sản phẩm","Chế phẩm","N5","N","","せいひんを忘れないでください。","Xin đừng quên sản phẩm."
"n5_0481","歯医者","はいしゃ","Bác sĩ nha khoa","Xỉ y giả","N5","N","","はいしゃが来たら、教えてください。","Nếu Bác sĩ nha khoa đến, hãy cho tôi biết."
"n5_0482","床屋","とこや","Hiệu cắt tóc nam","Sàng ốc","N5","N","","とこやが痛いですから、病院へ行きます。","Vì đau hiệu cắt tóc nam nên tôi đi bệnh viện."
"n5_0483","特に","とくに","Đặc biệt là","Đặc","N5","N","","新しいとくにが欲しいです。","Tôi muốn có đặc biệt là mới."
"n5_0485","ご家族","ごかぞく","Gia đình (k)","Gia tộc","N5","N","","ごかぞくが来たら、教えてください。","Nếu Gia đình (k) đến, hãy cho tôi biết."
"n5_0487","歩く","あるく","Đi bộ","Bộ","N5","V","","今、あるくところです。","Bây giờ tôi đang chuẩn bị đi bộ."
"n5_0488","乗る","のる","Lên","Thừa","N5","V","","のる時間がありますか。","Bạn có thời gian để lên không?"
"n5_0489","降りる","おりる","Xuống","Hàng(giáng)","N5","V","","時間がない時、おりることができません。","Khi không có thời gian, tôi không thể xuống."
"n5_0490","乗り換える","のりかえる","Chuyển xe","Thừa hoán","N5","V","","私はのりかえることができます。","Tôi có thể chuyển xe."
"n5_0491","浴びる","あびる","Tắm","Dục","N5","V","","明日、あびると思います。","Ngày mai, tôi định sẽ tắm."
"n5_0492","入れる","いれる","Cho vào","Nhập","N5","V","","今、いれるところです。","Bây giờ tôi đang chuẩn bị cho vào, pha."
"n5_0494","辞める","やめる","Bỏ, thôi","Từ","N5","V","","時間がない時、やめることができません。","Khi không có thời gian, tôi không thể bỏ, thôi."
"n5_0495","押す","おす","ấn, đẩy, ép","Áp","N5","V","","今、おすところです。","Bây giờ tôi đang chuẩn bị ấn, đẩy, ép."
"n5_0496","払う","はらう","Trả (tiền)","Phất","N5","V","","はらう前に、よく考えます。","Trước khi trả (tiền), tôi thường suy nghĩ kỹ."
"n5_0497","お金を下ろす","おかねをおろす","Rút tiền","","N5","V","","私はおかねをおろすことができます。","Tôi có thể rút tiền."
"n5_0498","長い","ながい","Dài","Trường","N5","A","","ここはがいで、きれいです。","Chỗ này dài và sạch sẽ."
"n5_0499","短い","みじかい","Ngắn","Đoản","N5","A","","このパソコンはとてもみじかいです。","Máy tính này rất ngắn."
"n5_0500","明るい","あかるい","Sáng sủa","Minh","N5","A","","もっとあかるいカメラが欲しいです。","Tôi muốn một cái máy ảnh sáng sủa hơn."
"n5_0501","暗い","くらい","Tối","Ám","N5","A","","くらい時、うちで休みます。","Khi tối, tôi nghỉ ngơi ở nhà."
"n5_0502","背が高い","せがたかい","Người cao","Bối","N5","A","","このパソコンはとてもせがたかいです。","Máy tính này rất người cao."
"n5_0503","背が低い","せがひくい","Người thấp","Đê","N5","A","","せがひくい時、うちで休みます。","Khi người thấp, tôi nghỉ ngơi ở nhà."
"n5_0504","頭が良い","あたまがいい","Thông minh","Đầu","N5","A","","もっとあたまがいいカメラが欲しいです。","Tôi muốn một cái máy ảnh thông minh hơn."
"n5_0505","体","からだ","Cơ thể","Thể","N5","N","","からだの使い方を教えてください。","Hãy chỉ cho tôi cách dùng cơ thể."
"n5_0506","鼻","はな","Mũi","Tị","N5","N","","はなが痛いですから、病院へ行きます。","Vì đau mũi nên tôi đi bệnh viện."
"n5_0507","髪","かみ","Tóc","Phát","N5","N","","かみを洗ってから、ご飯を食べます。","Sau khi rửa tóc, tôi ăn cơm."
"n5_0508","顔","かお","Khuôn mặt","Nhan","N5","N","","このかおはいくらですか。","Khuôn mặt này bao nhiêu tiền?"
"n5_0509","目","め","Mắt","Mục","N5","N","","めが痛いですから、病院へ行きます。","Vì đau mắt nên tôi đi bệnh viện."
"n5_0510","耳","みみ","Tai","Nhĩ","N5","N","","みみは今、会議室にいます。","Tai bây giờ đang ở phòng họp."
"n5_0511","口","くち","Miệng","Khẩu","N5","N","","くちが痛いですから、病院へ行きます。","Vì đau miệng nên tôi đi bệnh viện."
"n5_0512","歯","は","Răng","Xỉ","N5","N","","はが痛いですから、病院へ行きます。","Vì đau răng nên tôi đi bệnh viện."
"n5_0514","足","あし","Chân","Túc","N5","N","","あしを洗ってから、ご飯を食べます。","Sau khi rửa chân, tôi ăn cơm."
"n5_0515","緑","みどり","Màu xanh lá cây, cây cỏ","Lục","N5","N","","昨日、みどりと一緒に食事しました。","Hôm qua tôi đã đi ăn cùng Màu xanh lá cây, cây cỏ."
"n5_0516","「お」寺","おてら","Chùa","Tự","N5","N","","昨日買ったおてらはどこですか。","chùa mà tôi đã mua hôm qua ở đâu?"
"n5_0517","神社","じんじゃ","Đền","Thần xã","N5","N","","新しいじんじゃが欲しいです。","Tôi muốn có đền mới."
"n5_0518","～番","ばん","Số ~","","N5","N","","ばんの使い方を教えてください。","Hãy chỉ cho tôi cách dùng số ~."
"n5_0519","お引き出しますか","おひきだしますか","Bạn rút tiền có phải không","Dẫn","N5","N","","あの人はおひきだしますかじゃありません。","Người kia không phải là Bạn rút tiền có phải không."
"n5_0520","まず","まず","Trước tiên","","N5","N","","",""
"n5_0521","暗証番号","あんしょうばんごう","Mã số cá nhân","Ám chứng phiên hiệu","N5","N","","毎日、あんしょうばんごうを食べます。","Mỗi ngày tôi ăn mã số cá nhân."
"n5_0522","次に","つぎに","Tiếp theo, sau đó","Thứ","N5","N","","それはつぎにですか。","Đó có phải là tiếp theo, sau đó không?"
"n5_0523","金額","きんがく","Số tiền","Kim ngạch","N5","N","","このきんがくはいくらですか。","Số tiền này bao nhiêu tiền?"
"n5_0524","確認","かくにん","Xác nhận, kiểm tra","Xác nhận","N5","N","","昨日、デパートでかくにんを買いました。","Hôm qua, tôi đã mua xác nhận, kiểm tra ở trung tâm thương mại."
"n5_0525","忘れる","わすれる","Quên","Vong","N5","V","","時間がない時、わすれることができません。","Khi không có thời gian, tôi không thể quên."
"n5_0526","無くす","なくす","Làm mất","Vô","N5","V","","明日、なくすと思います。","Ngày mai, tôi định sẽ làm mất."
"n5_0527","返す","かえす","Trả lại","Phản","N5","V","","かえす時間がありますか。","Bạn có thời gian để trả lại không?"
"n5_0528","出かける","でかける","Đi ra ngoài","","N5","V","","でかける前に、よく考えます。","Trước khi đi ra ngoài, tôi thường suy nghĩ kỹ."
"n5_0529","脱ぐ","ぬぐ","Cởi ra","Thoát","N5","V","","私はぬぐことができます。","Tôi có thể cởi ra."
"n5_0530","持って行く","もっていく","Mang đi","Trì hành","N5","V","","たくさんもっていくと、疲れます。","Hễ mang đi nhiều thì sẽ mệt."
"n5_0531","持って来る","もってくる","Mang đến","Trì lai","N5","V","","もってくる前に、よく考えます。","Trước khi mang đến, tôi thường suy nghĩ kỹ."
"n5_0532","心配する","しんぱいする","Lo lắng","Tâm phối","N5","V","","時間がない時、しんぱいすることができません。","Khi không có thời gian, tôi không thể lo lắng."
"n5_0533","残業する","ざんぎょうする","Làm thêm giờ","Tàn nghiệp","N5","V","","私はざんぎょうすることができます。","Tôi có thể làm thêm giờ."
"n5_0534","出張する","しゅっちょうする","Đi công tác","Xuất trường","N5","V","","しゅっちょうする時間がありますか。","Bạn có thời gian để đi công tác không?"
"n5_0536","お風呂に入る","おふろにはいる","Đi tắm","Phong lữ","N5","V","","今、おふろにはいるところです。","Bây giờ tôi đang chuẩn bị đi tắm."
"n5_0537","気を付ける","きをつける","Chú ý, cẩn thận","Khí","N5","V","","明日、きをつけると思います。","Ngày mai, tôi định sẽ chú ý, cẩn thận."
"n5_0540","触る","さわる","Sờ, chạm","Xúc","N5","V","","明日、さわると思います。","Ngày mai, tôi định sẽ sờ, chạm."
"n5_0541","食事を作る","しょくじをつくる","Nấu ăn","Thực sự tác","N5","V","","今、しょくじをつくるところです。","Bây giờ tôi đang chuẩn bị nấu ăn."
"n5_0542","大切　（な）","たいせつ","Quan trọng","Đại thiết","N5","A","","たいせつな部屋が好きです。","Tôi thích căn phòng quan trọng."
"n5_0543","大丈夫（な）","だいじょうぶ","Không vấn đề gì","Đại trượng phu","N5","A","","この町はとてもだいじょうぶです。","Khu phố này rất không vấn đề gì."
"n5_0544","危ない","あぶない","Nguy hiểm","Nguy","N5","A","","昨日はとてもあぶいでした。","Hôm qua đã rất nguy hiểm."
"n5_0545","凄い","すごい","Xuất sắc, khủng khiếp","Thê","N5","A","","昨日はとてもすごいかったです。","Hôm qua đã rất xuất sắc, khủng khiếp."
"n5_0546","問題","もんだい","Vấn đề","Vấn đề","N5","N","","もんだいを忘れないでください。","Xin đừng quên vấn đề."
"n5_0547","答え","こたえ","Câu trả lời","Đáp","N5","N","","新しいこたえが欲しいです。","Tôi muốn có câu trả lời mới."
"n5_0548","「健康」保険証","けんこう","Thẻ bảo hiểm (sức khỏe)","Kiện khang","N5","N","","昨日買ったけんこうはどこですか。","thẻ bảo hiểm (sức khỏe) mà tôi đã mua hôm qua ở đâu?"
"n5_0550","お風呂","おふろ","Nhà tắm","Phong lữ","N5","N","","おふろで写真を撮らないでください。","Xin đừng chụp ảnh ở Nhà tắm."
"n5_0551","上着","うわぎ","Áo khoác","Thượng trước","N5","N","","ハサミでうわぎを切ります。","Tôi cắt áo khoác bằng kéo."
"n5_0552","下着","したぎ","Quần áo lót","Hạ trước","N5","N","","昨日、デパートでしたぎを買いました。","Hôm qua, tôi đã mua quần áo lót ở trung tâm thương mại."
"n5_0554","許可","きょか","Sự cho phép","Hứa khả","N5","N","","このきょかはいくらですか。","Sự cho phép này bao nhiêu tiền?"
"n5_0555","評価","ひょうか","Đánh giá","Bình giá","N5","N","","このひょうかはいくらですか。","Đánh giá này bao nhiêu tiền?"
"n5_0556","喉が痛いだ","のどがいたいだ","Tôi bị đau họng","Hầu thống","N5","N","","のどがいたいだは今、会議室にいます。","Tôi bị đau họng bây giờ đang ở phòng họp."
"n5_0557","お大事に","おだいじに","Anh giữ gìn sức khỏe nhé (ốm)","Đại sự","N5","N","","この時計はおだいじににもらいました。","Tôi đã nhận cái đồng hồ này từ Anh giữ gìn sức khỏe nhé (ốm)."
"n5_0558","出来る","できる","Có thể","Xuất lai","N5","V","","私はできることができます。","Tôi có thể có thể."
"n5_0559","洗う","あらう","Rửa, giặt","Tẩy","N5","V","","私はあらうことができます。","Tôi có thể rửa, giặt."
"n5_0560","引く","ひく","Chơi (nhạc cụ)","Dẫn","N5","V","","私はひくことができます。","Tôi có thể kéo."
"n5_0561","歌う","うたう","Hát","Ca","N5","V","","時間がない時、うたうことができません。","Khi không có thời gian, tôi không thể hát."
"n5_0562","集める","あつめる","Tập trung lại","Tập","N5","V","","明日、あつめると思います。","Ngày mai, tôi định sẽ tập trung lại."
"n5_0563","捨てる","すてる","Vứt đi","Xả","N5","V","","たくさんすてると、疲れます。","Hễ vứt đi nhiều thì sẽ mệt."
"n5_0564","運転する","うんてんする","Lái xe","Vận chuyển","N5","V","","うんてんする前に、よく考えます。","Trước khi lái xe, tôi thường suy nghĩ kỹ."
"n5_0565","予約する","よやくする","Đặt trước","Dự ước","N5","V","","私はよやくすることができます。","Tôi có thể đặt trước."
"n5_0566","直す","なおす","Sửa","Trực","N5","V","","私はなおすことができます。","Tôi có thể sửa."
"n5_0567","練習する","れんしゅうする","Luyện tập","Luyện tập","N5","V","","今、れんしゅうするところです。","Bây giờ tôi đang chuẩn bị luyện tập."
"n5_0569","故障","こしょう","Hỏng","Cố chướng","N5","N","","ハサミでこしょうを切ります。","Tôi cắt hỏng bằng kéo."
"n5_0570","趣味","しゅみ","Sở thích","Thú vị","N5","N","","しゅみの使い方を教えてください。","Hãy chỉ cho tôi cách dùng sở thích."
"n5_0571","もっと 練習しないと","もっとれんしゅうしないと","Tôi còn phải luyện tập nhiều hơn nữa","","N5","N","","もっとれんしゅうしないとは今、会議室にいます。","Tôi còn phải luyện tập nhiều hơn nữa bây giờ đang ở phòng họp."
"n5_0572","国際","こくさい","Quốc tế","Quốc tế","N5","N","","昨日買ったこくさいはどこですか。","quốc tế mà tôi đã mua hôm qua ở đâu?"
"n5_0573","現金","げんきん","Tiền mặt","Hiện kim","N5","N","","このげんきんはいくらですか。","Tiền mặt này bao nhiêu tiền?"
"n5_0574","日記","にっき","Nhật kí","Nhật kí","N5","N","","新しいにっきが欲しいです。","Tôi muốn có nhật kí mới."
"n5_0575","「お」祈り","おいのり","Lời cầu nguyện","Kì","N5","N","","それはおいのりですか。","Đó có phải là lời cầu nguyện không?"
"n5_0576","課長","かちょう","Trưởng nhóm","Khóa trường","N5","N","","それはかちょうですか。","Đó có phải là trưởng nhóm không?"
"n5_0577","部長","ぶちょう","Trưởng phòng","Bộ trường","N5","N","","ぶちょうにスーパーがあります。","Ở Trưởng phòng có siêu thị."
"n5_0578","社長","しゃちょう","Giám đốc","Xã trường","N5","N","","私はしゃちょうに日本語を教えます。","Tôi dạy tiếng Nhật cho Giám đốc."
"n5_0579","動物","どうぶつ","Động vật","Động vật","N5","N","","ハサミでどうぶつを切ります。","Tôi cắt động vật bằng kéo."
"n5_0580","馬","うま","Con ngựa","Mã","N5","N","","昨日買ったうまはどこですか。","con ngựa mà tôi đã mua hôm qua ở đâu?"
"n5_0581","なかなか","なかなか","Mãi mà…không","","N5","N","","",""
"n5_0582","牧場","ぼくじょ","Đồng cỏ, trại chăn nuôi","Mục trường","N5","N","","昨日、デパートでぼくじょを買いました。","Hôm qua, tôi đã mua đồng cỏ, trại chăn nuôi ở trung tâm thương mại."
"n5_0583","本当ですか","ほんとうですか","Thật thế à","Bản đương","N5","N","","ここにほんとうですかを置いてもいいですか。","Tôi để thật thế à ở đây có được không?"
"n5_0584","是非","ぜひ","Nhất định","Thị phi","N5","N","","新しいぜひが欲しいです。","Tôi muốn có nhất định mới."
"n5_0585","自分で","じぶんで","Tự mình","Tự phân","N5","N","","それはじぶんでですか。","Đó có phải là tự mình không?"
"n5_0586","登る","のぼる","Leo","Đăng","N5","V","","時間がない時、のぼることができません。","Khi không có thời gian, tôi không thể leo."
"n5_0587","泊まる","とまる","Trọ, nghỉ lại","Bạc","N5","V","","たくさんとまると、疲れます。","Hễ trọ, nghỉ lại nhiều thì sẽ mệt."
